manufacturer,manufacturerLabel,countryLabel,hqLabel,inception,industryLabel,website,logo,image
http://www.wikidata.org/entity/Q210982,Q210982,Германия,,,,,,
http://www.wikidata.org/entity/Q246,Volkswagen,Германия,Вольфсбург,1937-05-28T00:00:00Z,автомобильная промышленность,https://www.vw.com/en.html,http://commons.wikimedia.org/wiki/Special:FilePath/Volkswagen%20logo%202019.svg,http://commons.wikimedia.org/wiki/Special:FilePath/VW%20Werk%20Altes%20Heizkraftwerk%20WB%20edit.jpg
http://www.wikidata.org/entity/Q2666,20 июня,Германия,,,,,,
http://www.wikidata.org/entity/Q23076,Nederlandse Spoorwegen,Россия,Утрехт,1937-08-02T00:00:00Z,пассажирские перевозки,https://www.ns.nl/,http://commons.wikimedia.org/wiki/Special:FilePath/Nederlandse%20Spoorwegen%20logo.svg,http://commons.wikimedia.org/wiki/Special:FilePath/NS%20Stationsgebied%20Utrecht.jpg
http://www.wikidata.org/entity/Q23076,Nederlandse Spoorwegen,Россия,Утрехт,1938-01-01T00:00:00Z,пассажирские перевозки,https://www.ns.nl/,http://commons.wikimedia.org/wiki/Special:FilePath/Nederlandse%20Spoorwegen%20logo.svg,http://commons.wikimedia.org/wiki/Special:FilePath/NS%20Stationsgebied%20Utrecht.jpg
http://www.wikidata.org/entity/Q23076,Nederlandse Spoorwegen,Россия,Утрехт,1937-08-02T00:00:00Z,железнодорожный транспорт,https://www.ns.nl/,http://commons.wikimedia.org/wiki/Special:FilePath/Nederlandse%20Spoorwegen%20logo.svg,http://commons.wikimedia.org/wiki/Special:FilePath/NS%20Stationsgebied%20Utrecht.jpg
http://www.wikidata.org/entity/Q23076,Nederlandse Spoorwegen,Россия,Утрехт,1938-01-01T00:00:00Z,железнодорожный транспорт,https://www.ns.nl/,http://commons.wikimedia.org/wiki/Special:FilePath/Nederlandse%20Spoorwegen%20logo.svg,http://commons.wikimedia.org/wiki/Special:FilePath/NS%20Stationsgebied%20Utrecht.jpg
http://www.wikidata.org/entity/Q28616,Горьковский автомобильный завод,Россия,Нижний Новгород,1932-01-01T00:00:00Z,автомобильная промышленность,https://nn.gaz.ru/,http://commons.wikimedia.org/wiki/Special:FilePath/Emblem%20GAZ%20an%20einem%20Wolga%20cropped.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/Gorky%20Automobile%20Plant.%20Main%20entrance.%2009-2019%2001.jpg
http://www.wikidata.org/entity/Q28616,Горьковский автомобильный завод,Россия,Нижний Новгород,1932-01-01T00:00:00Z,военная промышленность,https://nn.gaz.ru/,http://commons.wikimedia.org/wiki/Special:FilePath/Emblem%20GAZ%20an%20einem%20Wolga%20cropped.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/Gorky%20Automobile%20Plant.%20Main%20entrance.%2009-2019%2001.jpg
http://www.wikidata.org/entity/Q30378,КАМАЗ,Россия,Набережные Челны,1969-01-01T00:00:00Z,автомобильная промышленность,https://kamaz.ru/,http://commons.wikimedia.org/wiki/Special:FilePath/Typeface%20logo%20of%20KAMAZ.svg,http://commons.wikimedia.org/wiki/Special:FilePath/Kamaz%202.JPG
http://www.wikidata.org/entity/Q30378,КАМАЗ,Россия,Набережные Челны,1969-01-01T00:00:00Z,автомобильная промышленность,https://kamaz.ru/en/,http://commons.wikimedia.org/wiki/Special:FilePath/Typeface%20logo%20of%20KAMAZ.svg,http://commons.wikimedia.org/wiki/Special:FilePath/Kamaz%202.JPG
http://www.wikidata.org/entity/Q44294,Ford,США,Дирборн,1903-06-16T00:00:00Z,автомобильная промышленность,https://www.ford.com,http://commons.wikimedia.org/wiki/Special:FilePath/Ford%20logo%20flat.svg,http://commons.wikimedia.org/wiki/Special:FilePath/FordGlassHouse.jpg
http://www.wikidata.org/entity/Q53268,Toyota,Франция,Тоёта,1937-08-28T00:00:00Z,автомобильная промышленность,https://global.toyota,http://commons.wikimedia.org/wiki/Special:FilePath/Toyota.svg,http://commons.wikimedia.org/wiki/Special:FilePath/Headquarter%20of%20Toyota%20Motor%20Corporation%203.JPG
http://www.wikidata.org/entity/Q29637,Škoda Auto,Чехия,Млада-Болеслав,1895-12-17T00:00:00Z,автомобильная промышленность,https://www.skoda-auto.com/,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0koda%20nieuw.png,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0koda%20nov%C3%A9%20s%C3%ADdlo.jpg
http://www.wikidata.org/entity/Q29637,Škoda Auto,Чехия,Млада-Болеслав,1990-11-20T00:00:00Z,автомобильная промышленность,https://www.skoda-auto.com/,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0koda%20nieuw.png,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0koda%20nov%C3%A9%20s%C3%ADdlo.jpg
