manufacturer,manufacturerLabel,countryLabel,hqLabel,inception,industryLabel,website,logo,image
http://www.wikidata.org/entity/Q26678,BMW,Германия,Мюнхен,1916-03-07T00:00:00Z,автомобильная промышленность,https://www.bmw.com,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20BMW%20Group%202021.svg,http://commons.wikimedia.org/wiki/Special:FilePath/2014%20BMW.JPG
http://www.wikidata.org/entity/Q26678,BMW,Германия,Мюнхен,1916-03-07T00:00:00Z,авиастроение,https://www.bmw.com,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20BMW%20Group%202021.svg,http://commons.wikimedia.org/wiki/Special:FilePath/2014%20BMW.JPG
http://www.wikidata.org/entity/Q26678,BMW,Германия,Мюнхен,1916-03-07T00:00:00Z,manufacture of motor vehicles,https://www.bmw.com,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20BMW%20Group%202021.svg,http://commons.wikimedia.org/wiki/Special:FilePath/2014%20BMW.JPG
http://www.wikidata.org/entity/Q26678,BMW,Германия,Мюнхен,1916-03-07T00:00:00Z,activities of holding companies,https://www.bmw.com,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20BMW%20Group%202021.svg,http://commons.wikimedia.org/wiki/Special:FilePath/2014%20BMW.JPG
http://www.wikidata.org/entity/Q246,Volkswagen,Германия,Вольфсбург,1937-05-28T00:00:00Z,автомобильная промышленность,https://www.vw.com/en.html,http://commons.wikimedia.org/wiki/Special:FilePath/Volkswagen%20logo%202019.svg,http://commons.wikimedia.org/wiki/Special:FilePath/VW%20Werk%20Altes%20Heizkraftwerk%20WB%20edit.jpg
http://www.wikidata.org/entity/Q27530,Mercedes-Benz Group,Германия,Штутгарт,1998-11-17T00:00:00Z,автомобильная промышленность,https://group.mercedes-benz.com/,http://commons.wikimedia.org/wiki/Special:FilePath/Mercedes-Benz%20Group%20black.svg,http://commons.wikimedia.org/wiki/Special:FilePath/Stuttgart-Untertuerkheim-DC-Zentrale.jpg
http://www.wikidata.org/entity/Q2309,АВТОВАЗ,Россия,Россия,1966-01-01T00:00:00Z,автомобильная промышленность,http://info.avtovaz.ru/,http://commons.wikimedia.org/wiki/Special:FilePath/Lada%20company%20logo%20image.png,http://commons.wikimedia.org/wiki/Special:FilePath/AvtoVAZ%20administration%20building-5389.JPG
http://www.wikidata.org/entity/Q2309,АВТОВАЗ,Россия,Тольятти,1966-01-01T00:00:00Z,автомобильная промышленность,http://info.avtovaz.ru/,http://commons.wikimedia.org/wiki/Special:FilePath/Lada%20company%20logo%20image.png,http://commons.wikimedia.org/wiki/Special:FilePath/AvtoVAZ%20administration%20building-5389.JPG
http://www.wikidata.org/entity/Q2309,АВТОВАЗ,Россия,Здание генеральной дирекции АВТОВАЗа,1966-01-01T00:00:00Z,автомобильная промышленность,http://info.avtovaz.ru/,http://commons.wikimedia.org/wiki/Special:FilePath/Lada%20company%20logo%20image.png,http://commons.wikimedia.org/wiki/Special:FilePath/AvtoVAZ%20administration%20building-5389.JPG
http://www.wikidata.org/entity/Q28616,Горьковский автомобильный завод,Россия,Нижний Новгород,1932-01-01T00:00:00Z,автомобильная промышленность,https://nn.gaz.ru/,http://commons.wikimedia.org/wiki/Special:FilePath/Emblem%20GAZ%20an%20einem%20Wolga%20cropped.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/Gorky%20Automobile%20Plant.%20Main%20entrance.%2009-2019%2001.jpg
http://www.wikidata.org/entity/Q28616,Горьковский автомобильный завод,Россия,Нижний Новгород,1932-01-01T00:00:00Z,военная промышленность,https://nn.gaz.ru/,http://commons.wikimedia.org/wiki/Special:FilePath/Emblem%20GAZ%20an%20einem%20Wolga%20cropped.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/Gorky%20Automobile%20Plant.%20Main%20entrance.%2009-2019%2001.jpg
http://www.wikidata.org/entity/Q30378,КАМАЗ,Россия,Набережные Челны,1969-01-01T00:00:00Z,автомобильная промышленность,https://kamaz.ru/,http://commons.wikimedia.org/wiki/Special:FilePath/Typeface%20logo%20of%20KAMAZ.svg,http://commons.wikimedia.org/wiki/Special:FilePath/Kamaz%202.JPG
http://www.wikidata.org/entity/Q30378,КАМАЗ,Россия,Набережные Челны,1969-01-01T00:00:00Z,автомобильная промышленность,https://kamaz.ru/en/,http://commons.wikimedia.org/wiki/Special:FilePath/Typeface%20logo%20of%20KAMAZ.svg,http://commons.wikimedia.org/wiki/Special:FilePath/Kamaz%202.JPG
http://www.wikidata.org/entity/Q44294,Ford,США,Дирборн,1903-06-16T00:00:00Z,автомобильная промышленность,https://www.ford.com,http://commons.wikimedia.org/wiki/Special:FilePath/Ford%20logo%20flat.svg,http://commons.wikimedia.org/wiki/Special:FilePath/FordGlassHouse.jpg
http://www.wikidata.org/entity/Q98584518,Renault,Франция,Булонь-Бийанкур,1900-01-01T00:00:00Z,производство автотранспортных средств,https://www.renault.fr/,http://commons.wikimedia.org/wiki/Special:FilePath/Renault%202009%20logo.svg,http://commons.wikimedia.org/wiki/Special:FilePath/Renault%20Twizy%20Sport%20F1%20IAA%202013.jpg
