model,modelLabel,type,typeLabel,manufacturer,manufacturerLabel,countryLabel,startProduction,predecessorLabel,successorLabel,length,width,height,mass,image
http://www.wikidata.org/entity/Q91031140,BMW Z3 M (E36/7),http://www.wikidata.org/entity/Q12627468,Q12627468,http://www.wikidata.org/entity/Q26678,BMW,Германия,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/BMW%20Z3%20M%20-%20Flickr%20-%20Alexandre%20Pr%C3%A9vot.jpg
http://www.wikidata.org/entity/Q90996924,BMW 2000 touring,http://www.wikidata.org/entity/Q67388842,BMW 2000,http://www.wikidata.org/entity/Q26678,BMW,Германия,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/BMW%202000%20Touring%20arriving%20at%20Schaffen-Diest.JPG
http://www.wikidata.org/entity/Q108544556,EMW 325,http://www.wikidata.org/entity/Q137188246,military vehicle model,http://www.wikidata.org/entity/Q26678,BMW,Германия,,,,,,,,
http://www.wikidata.org/entity/Q796496,BMW F 800,http://www.wikidata.org/entity/Q71310524,motorcycle model series,http://www.wikidata.org/entity/Q26678,BMW,Германия,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Liesel%2014-11-10%20BMW%20F%20800%20GS%2001-2.JPG
http://www.wikidata.org/entity/Q796507,BMW GS,http://www.wikidata.org/entity/Q71310524,motorcycle model series,http://www.wikidata.org/entity/Q26678,BMW,Германия,,,,,,,,
http://www.wikidata.org/entity/Q2188925,BMW HP2 series,http://www.wikidata.org/entity/Q71310524,motorcycle model series,http://www.wikidata.org/entity/Q26678,BMW,Германия,,,,,,,,
http://www.wikidata.org/entity/Q25431426,BMW Strahljäger I,http://www.wikidata.org/entity/Q76379517,prototype aircraft,http://www.wikidata.org/entity/Q26678,BMW,Германия,,,,,,,,
http://www.wikidata.org/entity/Q25431431,BMW Strahljäger II,http://www.wikidata.org/entity/Q76379517,prototype aircraft,http://www.wikidata.org/entity/Q26678,BMW,Германия,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/BMW%20TLJ-2%2C%20Strahlj%C3%A4ger%20Projekt%20II%20%28Replica%29%20%2845020226532%29.jpg
http://www.wikidata.org/entity/Q25431432,BMW Strahljäger III,http://www.wikidata.org/entity/Q76379517,prototype aircraft,http://www.wikidata.org/entity/Q26678,BMW,Германия,,,,,,,,
http://www.wikidata.org/entity/Q25431433,BMW Strahljäger IV,http://www.wikidata.org/entity/Q76379517,prototype aircraft,http://www.wikidata.org/entity/Q26678,BMW,Германия,,,,,,,,
