model,modelLabel,startProduction,predecessorLabel,successorLabel,height,width,length,mass,website,image
http://www.wikidata.org/entity/Q10403322,Q10403322,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0koda%20100%20%281939%29.jpg
http://www.wikidata.org/entity/Q10404063,Q10404063,,,,,,,,,
http://www.wikidata.org/entity/Q10404082,Q10404082,,,,,,,,,
http://www.wikidata.org/entity/Q10404317,Q10404317,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0koda%206%20ST%206-L.gif
http://www.wikidata.org/entity/Q10404862,Q10404862,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0koda%20L.gif
http://www.wikidata.org/entity/Q11838654,Q11838654,,,Škoda 973,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0koda%20Combat%20Tudor%20%287581431548%29.jpg
http://www.wikidata.org/entity/Q12017919,Q12017919,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/BAZ%20Furgonet.JPG
http://www.wikidata.org/entity/Q125844347,Q125844347,,,,,,,,,
http://www.wikidata.org/entity/Q25411589,Q25411589,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Skoda%20Rapid.jpg
http://www.wikidata.org/entity/Q30912732,Q30912732,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/2016-03-01%20Geneva%20Motor%20Show%20G044.JPG
http://www.wikidata.org/entity/Q42652687,Q42652687,,,,,,,,,
http://www.wikidata.org/entity/Q60978802,Q60978802,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Skoda%20Vision%20RS%2C%20Paris%20Motor%20Show%202018%2C%20IMG%200724.jpg
http://www.wikidata.org/entity/Q60980858,Q60980858,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Skoda%20Kamiq%20Genf%202019%201Y7A5520.jpg
http://www.wikidata.org/entity/Q65127893,Q65127893,,,,,,,,,
http://www.wikidata.org/entity/Q91024251,Q91024251,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0koda%20Targa%20at%20Legendy%202014.JPG
http://www.wikidata.org/entity/Q91450807,Q91450807,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0koda%20Element%20Azubi%20Car%202017%20at%20Legendy%202018%20in%20Prague.jpg
http://www.wikidata.org/entity/Q9396964,Q9396964,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Skoda%20Prototyp%201933%20blue%20vr%20TCE.jpg
http://www.wikidata.org/entity/Q9396966,Q9396966,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/2007-08-cesko-183.jpg
http://www.wikidata.org/entity/Q9396968,Q9396968,,,Škoda Octavia,,,,,,
http://www.wikidata.org/entity/Q9396972,Q9396972,,,,,,,,,
